Ticker,Q9_NetIncome,Q10_NetIncome,Q11_NetIncome,Q12_NetIncome,Q13_NetIncome,Q14_NetIncome,Q15_NetIncome,Q16_NetIncome
BSX,341000000,-62000000,-155000000,-147000000,11000000,-223000000,126000000,186000000
BSY,45627000,57006000,51932000,5844000,39076000,29669000,36251000,20427000
BSY,57006000,51932000,5844000,39076000,29669000,36251000,20427000,45627000
BURL,102554000,171030000,155994000,8016000,-46781000,-333728000,206325000,96459000
BURL,171030000,155994000,8016000,-46781000,-333728000,206325000,96459000,102554000
BWA,247000000,65000000,358000000,111000000,-98000000,129000000,220000000,194000000
BWA,65000000,358000000,111000000,-98000000,129000000,220000000,194000000,247000000
BWXT,59347000,69749000,65742000,73171000,64258000,75499000,61449000,74810000
BWXT,69749000,65742000,73171000,64258000,75499000,61449000,74810000,59347000
BX,1309152000,1747872000,748870000,794719000,568266000,-1066492000,483149000,779437000
BX,1747872000,748870000,794719000,568266000,-1066492000,483149000,779437000,1309152000
BXP,111703000,100596000,10311000,92479000,269150000,500121000,140824000,110396000
BXP,100596000,10311000,92479000,269150000,500121000,140824000,110396000,111703000
BYD,113729000,102161000,83287000,38116000,-108544000,-147559000,24296000,39405000
BYD,102161000,83287000,38116000,-108544000,-147559000,24296000,39405000,113729000
C,6193000000,7942000000,4309000000,3146000000,1056000000,2536000000,4979000000,4913000000
C,7942000000,4309000000,3146000000,1056000000,2536000000,4979000000,4913000000,6193000000
CABO,106153000,68582000,106238000,66287000,62540000,69326000,53613000,49835000
CABO,68582000,106238000,66287000,62540000,69326000,53613000,49835000,106153000
CACC,288600000,202100000,166300000,242100000,96400000,-83800000,161900000,165400000
CACC,202100000,166300000,242100000,96400000,-83800000,161900000,165400000,288600000
CACI,136977000,120344000,106478000,93644000,93731000,80577000,79195000,67977000
CACI,120344000,106478000,93644000,93731000,80577000,79195000,67977000,136977000
CAG,235400000,309500000,281400000,378900000,329000000,201400000,204400000,260500000
CAG,309500000,281400000,378900000,329000000,201400000,204400000,260500000,235400000
CAH,116000000,119000000,629000000,-253000000,656000000,350000000,220000000,-4922000000
CAH,119000000,629000000,-253000000,656000000,350000000,220000000,-4922000000,116000000
CAR,398000000,-170000000,-90000000,45000000,-481000000,-158000000,142000000,189000000
CAR,-170000000,-90000000,45000000,-481000000,-158000000,142000000,189000000,398000000
CARR,487000000,384000000,1245000000,741000000,261000000,96000000,784000000,400000000
