Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
BLK,8523976,12437410,10652913,12162974,12596929,15050493,10466472,17221302,13008133,15021641,15132198,18991895,19318039,17673411,14255078,12738760,18107195,26777731,17022693,20293152,16266137,16628302,10658387,10649987
BMY,139549838,234209651,258003379,183981919,171664615,194761316,134270584,186872352,155705191,164846175,187192603,199338785,185041818,227462986,200473741,192581427,277642621,332001818,300515185,351726314,304191329,261788074,304122692,272618069
BR,6349129,9274464,14160757,6920136,10661364,16574427,9586748,15219959,10118117,9797028,11037814,15719185,12149040,11740372,11770343,8463591,9862957,10093800,8299098,11556883,14443146,14043150,11523495,11787682
BRK.B,38959646,70946549,64507427,55742700,78430880,68939490,54990843,109280750,65680257,66962775,79522228,81978234,84982994,92088984,84002366,73422800,100755598,96295737,81179094,128957649,102491859,108132799,101960665,87108719
BRO,16327693,21057695,21835214,23631449,25026113,22850125,32474517,27427497,18070733,26798760,21499712,23943350,37173188,32632299,20257900,23732136,28286627,54865301,31794224,43666183,32987329,40943308,26212532,28638963
BSX,121028276,162947394,176699369,133116617,151071011,202861595,203347070,189596747,148229619,142410811,122947504,126537928,175609564,142314286,129740059,156192095,186741288,184476554,176881990,185774178,188564818,193046711,171448450,190012593
BWA,21383019,38633504,48360445,45368002,63444418,57244692,35139827,46368723,48106877,33056745,35688085,44185360,42433822,40092770,38425012,34231177,43294704,50251387,39222946,52734933,39923948,37815874,32775056,43619417
BX,42852960,248220594,68480494,86806646,72128246,87104613,84593608,152362597,73856894,94655187,151895415,99986333,92721799,86172577,74940226,85219126,112968859,115880275,81789684,104797115,98928429,109996660,90912627,76466935
BXP,23676678,28740390,31563864,33924995,39798821,34205482,33011909,58528688,22864092,26807513,37541699,34433347,34189370,34189039,23573210,26748484,23409692,20624880,12385629,16188650,20143092,21411648,17616291,13525357
C,259735000,318533469,355113457,365183167,303743082,323968789,305696947,590207015,291943168,381928528,381564150,353026353,392858515,402370597,335509178,437718364,470679364,577097464,481162048,741869854,456510993,563747923,516622537,440876035
CAG,86417251,75912490,80157079,92897528,82385332,95676937,86692638,105446266,72390021,97320895,78208289,73602313,82190379,68541267,56103570,94479174,79949350,92040893,94986949,137657562,61669809,106370442,82139144,80309129
CAH,26524524,37865238,58075745,38077275,56976791,47913377,36319621,56631887,53675157,50515352,59035877,70337478,63614701,65345457,71752056,42942634,46141736,57636735,57670154,60482870,54611943,69475723,62485891,71473715
